,Match_addr,County,Postal,PostalExt,Country,X,Y,>1,Pop 1 mile,Particulate Matter (PM 2.5 in ug/m3),Ozone (ppb),NATA Diesel PM (ug/m3),NATA Air Toxics Cancer Risk (risk per MM),NATA Respiratory Hazard Index,Traffic Proximity and Volume (daily traffic count/distance to road),Lead Paint Indicator (% pre-1960s housing),Superfund Proximity (site count/km distance),RMP Proximity (facility count/km distance),Hazardous Waste Proximity (facility count/km distance),Wastewater Discharge Indicators (toxicity-weighted concentration/m distance),Demographic Index,Minority Population,Low Income Population,Linguistically Isolated Population,Population with Less Than High School Education,Population under Age 5,Population over Age 64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"3747 Severn Rd, Margarettsville, North Carolina, 27853",Northampton County,27853,9697,USA,-77.20731,36.524646,,23,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,50%,38%,63%,0%,20%,4%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"186 Willis Hare Rd, Pendleton, North Carolina, 27862",Northampton County,27862,7030,USA,-77.19569873,36.47213891,,43,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,50%,38%,63%,0%,20%,4%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"262 Old Tram Way, Gaston, North Carolina, 27832",Northampton County,27832,8002,USA,-77.78154162,36.50776387,,77,7.89,39.4,0.19,32,0.44,98,0.25,0.012,0.35,0.13,0.018,46%,50%,42%,0%,30%,1%,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"410 Pin Hook Rd, Rich Square, North Carolina, 27869",Northampton County,27869,9656,USA,-77.29813419,36.34004927,,97,7.46,39.3,0.147,29,0.37,0.083,0.21,0.012,0.098,0.098,0,45%,51%,39%,0%,15%,5%,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"320 Taylor Rd, Garysburg, North Carolina, 27831",Northampton County,27831,9541,USA,-77.52993886,36.44519121,,85,7.75,39.4,0.183,30,0.4,110,0.23,0.011,0.18,0.17,0.0026,89%,95%,83%,0%,30%,10%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"10850 NC-305, Seaboard, North Carolina, 27876",Northampton County,27876,9534,USA,-77.43176632,36.44663848,,138,7.75,39.4,0.183,30,0.4,31,0.37,0.011,0.06,0.059,3.60E-10,53%,59%,47%,0%,24%,4%,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"10850 NC-305, Seaboard, North Carolina, 27876",Northampton County,27876,9534,USA,-77.43176632,36.44663848,,138,7.75,39.4,0.183,30,0.4,31,0.37,0.011,0.06,0.059,3.60E-10,53%,59%,47%,0%,24%,4%,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"1260 Barrett Cabin Rd, Murfreesboro, North Carolina, 27855",Northampton County,27855,9377,USA,-77.13495889,36.46777028,,54,7.48,39.1,0.158,28,0.37,1.9,0.37,0.014,0.17,0.15,7.50E-06,48%,51%,45%,1%,27%,6%,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"4285 Mount Carmel Rd, Jackson, North Carolina, 27845",Northampton County,27845,9691,USA,-77.3976735,36.419688,,138,7.75,39.4,0.183,30,0.4,31,0.37,0.011,0.06,0.059,3.60E-10,53%,59%,47%,0%,24%,4%,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"409 N Church St, Jackson, North Carolina, 27845",Northampton County,27845,9744,USA,-77.42264108,36.39325261,,587,7.75,39.4,0.183,30,0.4,47,0.42,0.011,0.058,0.055,0.0049,52%,53%,48%,1%,26%,2%,36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"409 N Church St, Jackson, North Carolina, 27845",Northampton County,27845,9744,USA,-77.42264108,36.39325261,,587,7.75,39.4,0.183,30,0.4,47,0.42,0.011,0.058,0.055,0.0049,52%,53%,48%,1%,26%,2%,36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"1326 Bethel Church Rd, Pleasant Hill, North Carolina, 27866",Northampton County,27866,9645,USA,-77.484861,36.507051,,84,7.75,39.4,0.183,30,0.4,1.1,0.32,0.011,0.076,0.074,3.50E-07,61%,73%,49%,0%,17%,3%,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"557 N Shore Dr, Gaston, North Carolina, 27832",Northampton County,27832,9691,USA,-77.69665419,36.48978108,,252,7.89,39.5,0.196,32,0.43,62,0.19,0.012,0.32,0.13,0.028,35%,37%,32%,0%,20%,1%,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"409 N Church St, Jackson, North Carolina, 27845",Northampton County,27845,9744,USA,-77.42264108,36.39325261,,587,7.75,39.4,0.183,30,0.4,47,0.42,0.011,0.058,0.055,0.0049,52%,53%,48%,1%,26%,2%,36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"406 N Church St, Jackson, North Carolina, 27845",Northampton County,27845,9744,USA,-77.42251646,36.39329854,,587,7.75,39.4,0.183,30,0.4,47,0.42,0.011,0.058,0.055,0.0049,52%,53%,48%,1%,26%,2%,36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"557 N Shore Dr, Gaston, North Carolina, 27832",Northampton County,27832,9691,USA,-77.69665419,36.48978108,,252,7.89,39.5,0.196,32,0.43,62,0.19,0.012,0.32,0.13,0.028,35%,37%,32%,0%,20%,1%,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"190 Jerry Chitty Ln, Pendleton, North Carolina, 27862",Northampton County,27862,7004,USA,-77.15534504,36.49752307,,17,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,50%,38%,63%,0%,20%,4%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"557 N Shore Dr, Gaston, North Carolina, 27832",Northampton County,27832,9691,USA,-77.69665419,36.48978108,,252,7.89,39.5,0.196,32,0.43,62,0.19,0.012,0.32,0.13,0.028,35%,37%,32%,0%,20%,1%,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"295 Post Office Rd, Henrico, North Carolina, 27842",Northampton County,27842,7508,USA,-77.82889361,36.54287729,,42,7.88,39.4,0.149,30,0.4,1.1,0.18,0.013,0.055,0.044,0.0086,31%,31%,31%,0%,13%,3%,39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"600 Ashleys Grove Rd, Conway, North Carolina, 27820",Northampton County,27820,9557,USA,-77.2184655,36.375165,,74,7.53,39.1,0.163,28,0.37,8.9,0.48,0.013,0.9,0.43,4.30E-05,28%,28%,29%,0%,18%,8%,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"329 Oak Hill Drive, Gaston, North Carolina, 27832",Northampton County,27832,NA,USA,-77.70346369,36.49007821,,222,7.89,39.5,0.197,32,0.43,61,0.19,0.012,0.32,0.13,0.029,34%,37%,32%,0%,20%,1%,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"3273 Mount Carmel Rd, Seaboard, North Carolina, 27876",Northampton County,27876,9080,USA,-77.39785463,36.44705894,,5,7.53,39.1,0.163,28,0.37,0.47,0.27,0.013,0.088,0.084,3.30E-07,32%,47%,16%,0%,19%,1%,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"541 Old Gaston Rd, Gaston, North Carolina, 27832",Northampton County,27832,9042,USA,-77.77480081,36.50692387,,77,7.89,39.4,0.19,32,0.44,98,0.25,0.012,0.35,0.13,0.018,46%,50%,42%,0%,30%,1%,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"2846 River Rd, Henrico, North Carolina, 27842",Northampton County,27842,9508,USA,-77.8797135,36.52569,,376,7.87,39.5,0.146,30,0.39,0,0.022,0.014,0.05,0.042,0.044,28%,23%,33%,0%,11%,0%,46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"10850 NC-305, Seaboard, North Carolina, 27876",Northampton County,27876,9534,USA,-77.43176632,36.44663848,,138,7.75,39.4,0.183,30,0.4,31,0.37,0.011,0.06,0.059,3.60E-10,53%,59%,47%,0%,24%,4%,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"5502 Big Johns Store Rd, Pleasant Hill, North Carolina, 27866",Northampton County,27866,9665,USA,-77.52844118,36.50000838,,113,7.75,39.4,0.183,30,0.4,2.6,0.32,0.011,0.097,0.093,8.20E-07,45%,56%,34%,0%,13%,0%,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"537 Frank Harris Rd, Pendleton, North Carolina, 27862",Northampton County,27862,7221,USA,-77.26657157,36.47770557,,42,7.53,39.1,0.163,28,0.37,5.7,0.28,0.013,0.28,0.16,1.10E-05,37%,50%,24%,1%,19%,3%,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"1333 Braswell Rd, Rich Square, North Carolina, 27869",Northampton County,27869,9544,USA,-77.33497488,36.34370975,,6,7.46,39.3,0.147,29,0.37,0.083,0.21,0.012,0.098,0.098,0,45%,51%,39%,0%,15%,5%,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"146 Sandy Shores Dr, Henrico, North Carolina, 27842",Northampton County,27842,9582,USA,-77.87290537,36.53318582,,391,7.87,39.5,0.147,30,0.39,0.0025,0.026,0.014,0.05,0.042,0.042,28%,23%,33%,0%,10%,1%,45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"567 Miller Trl, Jackson, North Carolina, 27845",Northampton County,27845,9561,USA,-77.42396181,36.41946542,,154,7.75,39.4,0.183,30,0.4,52,0.42,0.011,0.06,0.058,0,39%,41%,36%,0%,26%,2%,52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"138 Sandy Shores Dr, Henrico, North Carolina, 27842",Northampton County,27842,9582,USA,-77.87287049,36.53301151,,391,7.87,39.5,0.147,30,0.39,0.0025,0.026,0.014,0.05,0.042,0.042,28%,23%,33%,0%,10%,1%,45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"205 Hallie Futrell Ln, Conway, North Carolina, 27820",Northampton County,27820,9391,USA,-77.31300425,36.43007847,,129,7.53,39.1,0.163,28,0.37,3.1,0.044,0.012,0.14,0.13,0,48%,48%,48%,0%,4%,14%,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"369 Willey Ln, Gaston, North Carolina, 27832",Northampton County,27832,9690,USA,-77.68194908,36.49055181,,140,7.89,39.4,0.191,32,0.44,93,0.24,0.012,0.34,0.13,0.02,44%,48%,40%,0%,28%,1%,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"802 Pine Tops Rd, Murfreesboro, North Carolina, 27855",Hertford County,27855,9598,USA,-77.148729,36.386802,,245,7.42,39.1,0.152,28,0.37,11,0.21,0.014,0.14,0.13,9.30E-06,61%,72%,50%,0%,27%,10%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"356 O T Hunt Club Rd, Conway, North Carolina, 27820",Northampton County,27820,9600,USA,-77.2890075,36.401553,,126,7.53,39.1,0.163,28,0.37,3.1,0.044,0.012,0.14,0.13,0,48%,48%,48%,0%,4%,14%,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,"971 Horne Rd, Pendleton, North Carolina, 27862",Northampton County,27862,7129,USA,-77.1521805,36.487719,,19,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,50%,38%,63%,0%,20%,4%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,"188 Blackwell Stephenson Road, Garysburg, North Carolina, 27831",Northampton County,27831,NA,USA,-77.518179,36.461952,,212,7.75,39.4,0.183,30,0.4,56,0.28,0.011,0.14,0.13,0.0013,68%,76%,59%,0%,22%,5%,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,"215 Wrays Ct, Gaston, North Carolina, 27832",Northampton County,27832,9192,USA,-77.68791512,36.48779756,,282,7.89,39.5,0.197,32,0.43,59,0.19,0.012,0.32,0.13,0.029,34%,36%,31%,0%,19%,1%,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,"329 Reid Rd, Garysburg, North Carolina, 27831",Northampton County,27831,9460,USA,-77.54642841,36.47527583,,157,7.75,39.4,0.183,30,0.4,45,0.29,0.011,0.13,0.12,0.0011,63%,72%,54%,0%,20%,4%,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"1796 Big John Store Rd, Seaboard, North Carolina, 27876",Northampton County,27876,9623,USA,-77.41456111,36.53884172,,26,7.75,39.4,0.183,30,0.4,0,0.32,0.012,0.06,0.059,8.80E-10,73%,85%,60%,0%,20%,6%,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"2625 Severn Rd, Margarettsville, North Carolina, 27853",Northampton County,27853,9619,USA,-77.24502345,36.51888271,,46,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,50%,38%,63%,0%,20%,4%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,"2365 Big Johns Store Rd, Seaboard, North Carolina, 27876",Northampton County,27876,9531,USA,-77.43945069,36.53614339,,30,7.75,39.4,0.183,30,0.4,0,0.32,0.012,0.06,0.059,8.80E-10,73%,85%,60%,0%,20%,6%,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,"712 Barrett Cabin Rd, Murfreesboro, North Carolina, 27855",Northampton County,27855,9490,USA,-77.1451437,36.45468613,,388,7.42,39.1,0.152,28,0.37,2.1,0.31,0.015,0.14,0.13,7.10E-06,58%,64%,52%,1%,29%,4%,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,"304 Wyche Long Ln, Garysburg, North Carolina, 27831",Northampton County,27831,9586,USA,-77.62250108,36.52936805,,300,7.89,39.4,0.19,32,0.44,65,0.13,0.011,0.23,0.13,0.0017,63%,72%,55%,0%,34%,3%,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"317 Pecan Ln, Gaston, North Carolina, 27832",Northampton County,27832,9512,USA,-77.64013947,36.51851473,,687,7.89,39.4,0.19,32,0.44,51,0.14,0.011,0.23,0.11,0.0015,68%,79%,56%,0%,34%,3%,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,"270 Collier Rd, Woodland, North Carolina, 27897",Northampton County,27897,9500,USA,-77.28959727,36.3395151,,81,7.46,39.3,0.147,29,0.37,0.083,0.21,0.012,0.098,0.098,0,45%,51%,39%,0%,15%,5%,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,"963 Jack Swamp Rd, Pleasant Hill, North Carolina, 27866",Northampton County,27866,9520,USA,-77.56860614,36.5191756,,22,7.75,39.4,0.183,30,0.4,2.6,0.32,0.011,0.097,0.093,8.20E-07,45%,56%,34%,0%,13%,0%,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"141 Wrays Ct, Gaston, North Carolina, 27832",Northampton County,27832,9556,USA,-77.68595283,36.48846923,,283,7.89,39.5,0.197,32,0.43,59,0.19,0.012,0.32,0.13,0.029,34%,36%,31%,0%,19%,1%,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"270 Collier Rd, Woodland, North Carolina, 27897",Northampton County,27897,9500,USA,-77.28959727,36.3395151,,81,7.46,39.3,0.147,29,0.37,0.083,0.21,0.012,0.098,0.098,0,45%,51%,39%,0%,15%,5%,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,"606 Indian Branch Rd, Murfreesboro, North Carolina, 27855",Northampton County,27855,9396,USA,-77.16174075,36.40094147,,180,7.53,39.1,0.163,28,0.37,2.2,0.47,0.014,0.21,0.17,9.20E-06,36%,39%,33%,0%,26%,9%,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"459 Vaughan Creek Rd, Pendleton, North Carolina, 27862",Northampton County,27862,7061,USA,-77.17219076,36.51928565,,167,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,50%,38%,63%,0%,20%,4%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,"470 Collier Rd, Woodland, North Carolina, 27897",Northampton County,27897,9501,USA,-77.2806285,36.341928,,45,7.46,39.3,0.147,29,0.37,0.083,0.21,0.012,0.098,0.098,0,45%,51%,39%,0%,15%,5%,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"166 Cumbo Rd, Rich Square, North Carolina, 27869",Northampton County,27869,9634,USA,-77.3473795,36.30655054,,5,7.46,39.3,0.147,29,0.37,0.083,0.21,0.012,0.098,0.098,0,45%,51%,39%,0%,15%,5%,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,"1802 Willis Hare Rd, Pendleton, North Carolina, 27862",Northampton County,27862,7500,USA,-77.16261679,36.50994158,,23,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,50%,38%,63%,0%,20%,4%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,"1135 Jenkins Mill Rd, Conway, North Carolina, 27820",Northampton County,27820,9661,USA,-77.26836915,36.3950065,,74,7.53,39.1,0.163,28,0.37,3.1,0.044,0.012,0.14,0.13,0,48%,48%,48%,0%,4%,14%,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,"701 Willis Hare Road, Pendleton, North Carolina, 27862",Northampton County,27862,NA,USA,-77.18405371,36.4830712,,37,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,50%,38%,63%,0%,20%,4%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
